Train,Type,From,To,StartTime,EndTime
Train_29,Light Travel,Station18,Station18,44940,44940
Train_14,Train Trip,Station17,Station21,45360,50040
Train_18,Light Travel,Station25,Station25,45360,45360
Train_5,Train Trip,Station3,Station5,45480,53520
Train_19,Train Trip,Station17,Station24,45840,51900
Train_20,Light Travel,Station17,Station17,45840,45840
Train_12,Light Travel,Station3,Station3,46080,46080
Train_22,Light Travel,Station9,Station9,46140,46140
Train_9,Light Travel,Station17,Station17,46320,46320
Train_1,Light Travel,Station21,Station21,46440,46440
Train_18,Train Trip,Station25,Station24,46620,47160
Train_16,Train Trip,Station1,Station17,46620,49920
Train_4,Light Travel,Station1,Station1,46920,46920
Train_13,Light Travel,Station30,Station30,47100,47100
Train_9,Train Trip,Station17,Station1,47160,50520
Train_1,Train Trip,Station21,Station17,47160,51720
Train_15,Train Trip,Station24,Station3,47160,55440
Train_18,Light Travel,Station24,Station24,47160,47160
Train_7,Train Trip,Station9,Station3,47340,51660
Train_12,Train Trip,Station3,Station18,47460,55740
Train_3,Light Travel,Station3,Station3,48060,48060
Train_10,Light Travel,Station22,Station22,48120,48120
Train_21,Light Travel,Station17,Station17,48120,48120
Train_13,Train Trip,Station30,Station26,48240,51360
Train_29,Train Trip,Station18,Station3,48420,56880
Train_2,Light Travel,Station18,Station18,48540,48540
Train_21,Train Trip,Station17,Station21,48960,53640
Train_3,Train Trip,Station3,Station5,49080,56700
Train_17,Train Trip,Station17,Station22,49440,55320
Train_28,Light Travel,Station17,Station17,49440,49440
Train_23,Light Travel,Station3,Station3,49680,49680
Train_25,Train Trip,Station9,Station3,49740,53460
Train_16,Light Travel,Station17,Station17,49920,49920
Train_14,Light Travel,Station21,Station21,50040,50040
Train_16,Train Trip,Station17,Station9,50160,56460
Train_4,Train Trip,Station1,Station17,50220,53520
Train_9,Light Travel,Station1,Station1,50520,50520
Train_28,Train Trip,Station17,Station1,50760,54120
Train_14,Train Trip,Station21,Station17,50760,55320
Train_24,Train Trip,Station9,Station3,50940,55260
Train_10,Train Trip,Station22,Station3,50940,59040
Train_23,Train Trip,Station3,Station18,51060,59340
Train_13,Light Travel,Station26,Station26,51360,51360
Train_7,Light Travel,Station3,Station3,51660,51660
Train_1,Light Travel,Station17,Station17,51720,51720
Train_18,Train Trip,Station24,Station25,51900,52560
Train_19,Light Travel,Station24,Station24,51900,51900
Train_2,Train Trip,Station18,Station3,52020,60480
Train_27,Light Travel,Station18,Station18,52140,52140
Train_1,Train Trip,Station17,Station21,52560,57240
Train_18,Light Travel,Station25,Station25,52560,52560
Train_8,Train Trip,Station19,Station9,52680,52980
Train_7,Train Trip,Station3,Station5,52680,60720
Train_8,Light Travel,Station9,Station9,52980,52980
Train_20,Train Trip,Station17,Station24,53040,59100
Train_26,Light Travel,Station3,Station3,53280,53280
Train_8,Train Trip,Station9,Station3,53340,57060
Train_25,Light Travel,Station3,Station3,53460,53460
Train_5,Light Travel,Station5,Station5,53520,53520
Train_4,Light Travel,Station17,Station17,53520,53520
Train_21,Light Travel,Station21,Station21,53640,53640
Train_18,Train Trip,Station25,Station24,53820,54360
Train_9,Train Trip,Station1,Station17,53820,57120
Train_28,Light Travel,Station1,Station1,54120,54120
Train_5,Train Trip,Station5,Station3,54180,62460
Train_4,Train Trip,Station17,Station1,54360,57720
Train_21,Train Trip,Station21,Station17,54360,58920
Train_19,Train Trip,Station24,Station3,54360,62640
Train_18,Light Travel,Station24,Station24,54360,54360
Train_25,Train Trip,Station3,Station22,54480,62520
Train_22,Train Trip,Station9,Station3,54540,58860
Train_26,Train Trip,Station3,Station18,54660,62940
Train_13,Train Trip,Station26,Station30,54720,57900
Train_24,Light Travel,Station3,Station3,55260,55260
Train_17,Light Travel,Station22,Station22,55320,55320
Train_14,Light Travel,Station17,Station17,55320,55320
Train_15,Light Travel,Station3,Station3,55440,55440
Train_27,Train Trip,Station18,Station3,55620,64080
Train_12,Light Travel,Station18,Station18,55740,55740
Train_24,Train Trip,Station3,Station11,56100,64320
Train_14,Train Trip,Station17,Station21,56160,60840
Train_16,Light Travel,Station9,Station9,56460,56460
Train_3,Light Travel,Station5,Station5,56700,56700
Train_29,Light Travel,Station3,Station30,56880,58500
Train_6,Train Trip,Station9,Station3,56940,60660
Train_8,Light Travel,Station3,Station3,57060,57060
Train_3,Train Trip,Station5,Station14,57120,57600
Train_9,Light Travel,Station17,Station17,57120,57120
Train_1,Light Travel,Station21,Station21,57240,57240
Train_28,Train Trip,Station1,Station17,57420,60720
Train_3,Light Travel,Station14,Station14,57600,57600
Train_4,Light Travel,Station1,Station1,57720,57720
Train_13,Light Travel,Station30,Station17,57900,58260
Train_9,Train Trip,Station17,Station1,57960,61320
Train_1,Train Trip,Station21,Station17,57960,62520
Train_8,Train Trip,Station3,Station24,58080,66300
Train_17,Train Trip,Station22,Station3,58140,66240
Train_15,Train Trip,Station3,Station18,58260,66540
Train_3,Train Trip,Station14,Station3,58500,66060
Train_22,Light Travel,Station3,Station3,58860,58860
Train_21,Light Travel,Station17,Station17,58920,58920
Train_29,Train Trip,Station30,Station26,59040,62160
Train_10,Light Travel,Station3,Station3,59040,59040
Train_18,Train Trip,Station24,Station25,59100,59760
Train_20,Light Travel,Station24,Station24,59100,59100
Train_12,Train Trip,Station18,Station3,59220,67680
Train_23,Light Travel,Station18,Station18,59340,59340
Train_11,Train Trip,Station19,Station9,59700,60120
Train_22,Train Trip,Station3,Station11,59700,67920
Train_21,Train Trip,Station17,Station21,59760,64440
Train_18,Light Travel,Station25,Station25,59760,59760
Train_10,Train Trip,Station3,Station5,59880,67560
Train_11,Light Travel,Station9,Station9,60120,60120
Train_2,Light Travel,Station3,Station3,60480,60480
Train_16,Train Trip,Station9,Station3,60540,64260
Train_6,Light Travel,Station3,Station3,60660,60660
Train_7,Light Travel,Station5,Station5,60720,60720
Train_28,Light Travel,Station17,Station17,60720,60720
Train_14,Light Travel,Station21,Station21,60840,60840
Train_18,Train Trip,Station25,Station24,61020,61560
Train_4,Train Trip,Station1,Station17,61020,64320
Train_9,Light Travel,Station1,Station1,61320,61320
Train_13,Train Trip,Station17,Station1,61560,64920
Train_14,Train Trip,Station21,Station17,61560,66120
Train_20,Train Trip,Station24,Station3,61560,69840
Train_18,Light Travel,Station24,Station24,61560,61560
Train_7,Train Trip,Station5,Station3,61680,69660
Train_6,Train Trip,Station3,Station22,61680,69720
Train_2,Train Trip,Station3,Station18,61860,70140
Train_29,Light Travel,Station26,Station26,62160,62160
Train_5,Light Travel,Station3,Station3,62460,62460
Train_25,Light Travel,Station22,Station22,62520,62520
Train_1,Light Travel,Station17,Station28,62520,62640
Train_19,Light Travel,Station3,Station3,62640,62640
Train_23,Train Trip,Station18,Station3,62820,71280
Train_26,Light Travel,Station18,Station5,62940,63300
Train_19,Train Trip,Station3,Station11,63300,71520
Train_1,Train Trip,Station28,Station9,63360,67260
Train_28,Train Trip,Station17,Station21,63360,68040
Train_5,Train Trip,Station3,Station5,63480,71100
Train_27,Light Travel,Station3,Station3,64080,64080
Train_11,Train Trip,Station9,Station3,64140,67860
Train_16,Light Travel,Station3,Station3,64260,64260
Train_26,Train Trip,Station5,Station14,64320,64800
Train_24,Light Travel,Station11,Station19,64320,68040
Train_4,Light Travel,Station17,Station17,64320,64320
Train_21,Light Travel,Station21,Station21,64440,64440
Train_9,Train Trip,Station1,Station17,64620,67920
Train_26,Light Travel,Station14,Station18,64800,65700
Train_13,Light Travel,Station1,Station1,64920,64920
Train_4,Train Trip,Station17,Station1,65160,68520
Train_21,Train Trip,Station21,Station17,65160,69720
Train_16,Train Trip,Station3,Station24,65280,73500
Train_25,Train Trip,Station22,Station3,65340,73440
Train_27,Train Trip,Station3,Station18,65460,73740
Train_29,Train Trip,Station26,Station30,65520,68700
Train_3,Light Travel,Station3,Station3,66060,66060
Train_14,Light Travel,Station17,Station17,66120,66120
Train_17,Light Travel,Station3,Station3,66240,66240
Train_18,Train Trip,Station24,Station25,66300,66960
Train_8,Light Travel,Station24,Station24,66300,66300
Train_26,Train Trip,Station18,Station3,66420,74880
Train_15,Light Travel,Station18,Station18,66540,66540
Train_3,Train Trip,Station3,Station9,66900,70740
Train_14,Train Trip,Station17,Station21,66960,71640
Train_18,Light Travel,Station25,Station25,66960,66960
Train_17,Train Trip,Station3,Station9,67080,71340
Train_1,Light Travel,Station9,Station9,67260,67260
Train_10,Light Travel,Station5,Station5,67560,67560
Train_12,Light Travel,Station3,Station3,67680,67680
Train_1,Train Trip,Station9,Station3,67740,71460
Train_11,Light Travel,Station3,Station3,67860,67860
Train_22,Light Travel,Station11,Station11,67920,67920
Train_9,Light Travel,Station17,Station17,67920,67920
Train_10,Train Trip,Station5,Station14,67980,68400
Train_28,Light Travel,Station21,Station21,68040,68040
Train_24,Train Trip,Station19,Station9,68160,68460
Train_18,Train Trip,Station25,Station24,68220,68760
Train_13,Train Trip,Station1,Station17,68220,71520
Train_10,Light Travel,Station14,Station14,68400,68400
Train_24,Light Travel,Station9,Station9,68460,68460
Train_4,Light Travel,Station1,Station1,68520,68520
Train_29,Light Travel,Station30,Station30,68700,68700
Train_9,Train Trip,Station17,Station1,68760,72120
Train_28,Train Trip,Station21,Station17,68760,73320
Train_8,Train Trip,Station24,Station17,68760,74640
Train_18,Light Travel,Station24,Station24,68760,68760
Train_11,Train Trip,Station3,Station22,68880,76920
Train_24,Train Trip,Station9,Station3,68940,73260
Train_12,Train Trip,Station3,Station18,69060,77340
Train_7,Light Travel,Station3,Station3,69660,69660
Train_6,Light Travel,Station22,Station22,69720,69720
Train_21,Light Travel,Station17,Station17,69720,69720
Train_29,Train Trip,Station30,Station9,69840,71880
Train_20,Light Travel,Station3,Station3,69840,69840
Train_15,Train Trip,Station18,Station3,70020,78480
Train_2,Light Travel,Station18,Station18,70140,70140
Train_7,Train Trip,Station3,Station9,70500,74340
Train_21,Train Trip,Station17,Station21,70560,75240
Train_20,Train Trip,Station3,Station9,70680,74940
Train_3,Light Travel,Station9,Station9,70740,70740
Train_5,Light Travel,Station5,Station5,71100,71100
Train_23,Light Travel,Station3,Station3,71280,71280
Train_3,Train Trip,Station9,Station3,71340,75060
Train_17,Light Travel,Station9,Station9,71340,71340
Train_1,Light Travel,Station3,Station3,71460,71460
Train_5,Train Trip,Station5,Station14,71520,71940
Train_19,Light Travel,Station11,Station11,71520,71520
Train_13,Light Travel,Station17,Station17,71520,71520
Train_17,Train Trip,Station9,Station19,71580,72840
Train_14,Light Travel,Station21,Station21,71640,71640
Train_4,Train Trip,Station1,Station17,71820,75120
Train_29,Light Travel,Station9,Station9,71880,71880
Train_5,Light Travel,Station14,Station14,71940,71940
Train_9,Light Travel,Station1,Station1,72120,72120
Train_13,Train Trip,Station17,Station1,72360,75720
Train_14,Train Trip,Station21,Station17,72360,76920
Train_1,Train Trip,Station3,Station11,72480,79920
Train_29,Train Trip,Station9,Station3,72540,76860
Train_6,Train Trip,Station22,Station17,72540,78240
Train_23,Train Trip,Station3,Station5,72660,80520
Train_17,Light Travel,Station19,Station19,72840,72840
Train_24,Light Travel,Station3,Station3,73260,73260
Train_28,Light Travel,Station17,Station29,73320,75360
Train_25,Light Travel,Station3,Station3,73440,73440
Train_18,Train Trip,Station24,Station25,73500,74160
Train_16,Light Travel,Station24,Station24,73500,73500
Train_2,Train Trip,Station18,Station3,73620,82080
